,Summer 2015,Summer 2016,Summer 2017,Summer 2018,Summer 2019
HHI ANALYSIS FOR DUS,,,,,
Generated: 2025-11-12 03:32:22,,,,,
,,,,,
Market Share by Airline Group (%):,,,,,
,,,,,
Lufthansa Group,36.8,36.4,36.2,46.1,52.6
Air Berlin Group,27.7,28.5,29.4,5.8,4.4
Low Cost Carriers,10.8,11.4,10.8,18.4,18.4
Legacy Carriers,17.0,16.4,15.2,15.9,16.5
Regional & Others,0.0,0.0,0.0,0.0,0.3
New Entrants,0.0,0.0,0.0,4.5,1.2
,---,---,---,---,---
HHI (Market Concentration Index),2527.17,2536.13,2522.48,2770.47,3398.46
Market Classification,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated
