,Summer 2015,Summer 2016,Summer 2017,Summer 2018,Summer 2019
HHI ANALYSIS FOR FRA,,,,,
Generated: 2025-11-12 03:32:22,,,,,
,,,,,
Market Share by Airline Group (%):,,,,,
,,,,,
Lufthansa Group,66.0,66.9,67.2,66.1,66.8
Air Berlin Group,1.6,1.4,1.2,0.5,0.0
Low Cost Carriers,4.8,5.2,5.6,9.2,9.6
Legacy Carriers,11.6,11.2,10.7,9.9,10.1
Regional & Others,0.0,0.0,0.0,0.0,0.0
New Entrants,0.0,0.0,0.0,0.3,0.8
,---,---,---,---,---
HHI (Market Concentration Index),4516.16,4630.05,4663.13,4552.2,4657.05
Market Classification,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated
