,Summer 2015,Summer 2016,Summer 2017,Summer 2018,Summer 2019
HHI ANALYSIS FOR HAM,,,,,
Generated: 2025-11-12 03:32:22,,,,,
,,,,,
Market Share by Airline Group (%):,,,,,
,,,,,
Lufthansa Group,0.0,43.1,43.9,50.9,52.1
Air Berlin Group,0.0,12.3,9.3,3.1,0.0
Low Cost Carriers,0.0,15.8,21.0,18.8,20.2
Legacy Carriers,0.0,19.6,19.4,19.8,21.2
Regional & Others,0.0,0.0,0.0,0.1,0.2
New Entrants,0.0,0.0,0.0,1.1,0.8
,---,---,---,---,---
HHI (Market Concentration Index),0.0,2642.7,2831.06,3347.12,3572.57
Market Classification,Unconcentrated (Competitive),Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated
