,Summer 2015,Summer 2016,Summer 2017,Summer 2018,Summer 2019
HHI ANALYSIS FOR MUC,,,,,
Generated: 2025-11-12 03:32:22,,,,,
,,,,,
Market Share by Airline Group (%):,,,,,
,,,,,
Lufthansa Group,62.8,60.3,62.1,66.6,69.8
Air Berlin Group,8.1,7.2,6.7,1.2,0.5
Low Cost Carriers,6.5,9.2,8.2,9.3,7.9
Legacy Carriers,12.6,12.9,13.0,12.0,11.6
Regional & Others,0.0,0.0,0.0,0.0,0.1
New Entrants,0.0,0.0,0.0,0.9,1.9
,---,---,---,---,---
HHI (Market Concentration Index),4210.46,3938.98,4137.54,4668.3,5072.88
Market Classification,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated
