,Summer 2015,Summer 2016,Summer 2017,Summer 2018,Summer 2019
HHI ANALYSIS FOR STR,,,,,
Generated: 2025-11-12 03:32:22,,,,,
,,,,,
Market Share by Airline Group (%):,,,,,
,,,,,
Lufthansa Group,45.6,46.3,49.5,55.3,52.0
Air Berlin Group,19.0,16.9,12.7,3.2,7.1
Low Cost Carriers,14.0,15.7,15.5,18.0,18.4
Legacy Carriers,13.8,14.2,15.3,16.1,15.7
Regional & Others,0.0,0.0,0.0,0.0,0.0
New Entrants,0.0,0.0,0.0,1.7,2.2
,---,---,---,---,---
HHI (Market Concentration Index),2826.8,2877.43,3085.88,3654.43,3344.3
Market Classification,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated
