,Summer 2015,Summer 2016,Summer 2017,Summer 2018,Summer 2019
HHI ANALYSIS FOR SXF,,,,,
Generated: 2025-11-12 03:32:22,,,,,
,,,,,
Market Share by Airline Group (%):,,,,,
,,,,,
Lufthansa Group,0.1,3.4,0.0,0.0,0.0
Air Berlin Group,0.0,0.0,0.0,0.0,0.0
Low Cost Carriers,78.8,80.6,86.0,82.5,84.3
Legacy Carriers,9.4,5.9,4.0,3.9,4.2
Regional & Others,0.0,0.0,0.0,0.0,0.0
New Entrants,0.0,0.0,0.0,3.4,1.3
,---,---,---,---,---
HHI (Market Concentration Index),6297.81,6542.73,7412.0,6833.02,7125.82
Market Classification,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated
