,Summer 2015,Summer 2016,Summer 2017,Summer 2018,Summer 2019
HHI ANALYSIS FOR TXL,,,,,
Generated: 2025-11-12 03:32:22,,,,,
,,,,,
Market Share by Airline Group (%):,,,,,
,,,,,
Lufthansa Group,28.6,30.7,29.7,35.2,35.6
Air Berlin Group,45.8,42.0,45.2,11.7,0.5
Low Cost Carriers,2.5,3.3,2.0,29.6,38.8
Legacy Carriers,16.0,18.4,16.7,16.2,18.3
Regional & Others,0.0,0.0,0.0,0.0,0.0
New Entrants,0.0,0.0,0.0,1.1,1.4
,---,---,---,---,---
HHI (Market Concentration Index),3177.85,3055.94,3208.02,2515.74,3109.9
Market Classification,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated,Highly Concentrated
