Airport,Season,HHI
DUS,S15,2527.17
DUS,S16,2536.13
DUS,S17,2522.48
DUS,S18,2770.47
DUS,S19,3398.46
FRA,S15,4516.16
FRA,S16,4630.05
FRA,S17,4663.13
FRA,S18,4552.2
FRA,S19,4657.05
HAM,S15,0.0
HAM,S16,2642.7
HAM,S17,2831.06
HAM,S18,3347.12
HAM,S19,3572.57
MUC,S15,4210.46
MUC,S16,3938.98
MUC,S17,4137.54
MUC,S18,4668.3
MUC,S19,5072.88
STR,S15,2826.8
STR,S16,2877.43
STR,S17,3085.88
STR,S18,3654.43
STR,S19,3344.3
SXF,S15,6297.81
SXF,S16,6542.73
SXF,S17,7412.0
SXF,S18,6833.02
SXF,S19,7125.82
TXL,S15,3177.85
TXL,S16,3055.94
TXL,S17,3208.02
TXL,S18,2515.74
TXL,S19,3109.9
