Origin Airport,Destination Region Normalized,Year,Route,AIR_BERLIN_GROUP_Departures,LUFTHANSA_GROUP_Departures,LowCostCarrier_GROUP_Departures,NEW_ENTRANT_Departures,legacy_group_Departures,regional_and_others_Departures,AIR_BERLIN_GROUP_Market_Share,LUFTHANSA_GROUP_Market_Share,LowCostCarrier_GROUP_Market_Share,NEW_ENTRANT_Market_Share,legacy_group_Market_Share,regional_and_others_Market_Share
DUS,EASTERN EUROPE,2015,DUS → EASTERN EUROPE,569.0,3861.0,1614.0,0.0,3231.0,0.0,0.06134770889487871,0.41628032345013477,0.17401617250673854,0.0,0.348355795148248,0.0
DUS,EASTERN EUROPE,2016,DUS → EASTERN EUROPE,200.0,3360.0,1517.0,0.0,3443.0,0.0,0.023474178403755867,0.39436619718309857,0.17805164319248826,0.0,0.4041079812206573,0.0
DUS,EASTERN EUROPE,2017,DUS → EASTERN EUROPE,256.0,3474.0,1628.0,0.0,3552.0,0.0,0.0287317620650954,0.3898989898989899,0.18271604938271604,0.0,0.39865319865319865,0.0
DUS,EASTERN EUROPE,2018,DUS → EASTERN EUROPE,311.0,3284.0,2145.0,48.0,3142.0,0.0,0.03482642777155655,0.36774916013437847,0.24020156774916013,0.005375139977603583,0.35184770436730123,0.0
DUS,EASTERN EUROPE,2019,DUS → EASTERN EUROPE,248.0,4228.0,1954.0,0.0,3513.0,0.0,0.024942170371115357,0.42522377552046664,0.1965201649401589,0.0,0.35331388916825907,0.0
DUS,GULF/MIDDLE EAST,2015,DUS → GULF/MIDDLE EAST,327.0,0.0,198.0,0.0,0.0,0.0,0.6228571428571429,0.0,0.37714285714285717,0.0,0.0,0.0
DUS,GULF/MIDDLE EAST,2016,DUS → GULF/MIDDLE EAST,214.0,0.0,214.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
DUS,GULF/MIDDLE EAST,2017,DUS → GULF/MIDDLE EAST,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DUS,GULF/MIDDLE EAST,2018,DUS → GULF/MIDDLE EAST,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DUS,GULF/MIDDLE EAST,2019,DUS → GULF/MIDDLE EAST,0.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
