Route,2015,2016,2017,2018,2019
DUS → EASTERN EUROPE,3286.862373856627,3510.8138266217015,3451.562639740717,3179.748171983412,3448.8825063801005
DUS → GULF/MIDDLE EAST,5301.877551020409,5000.0,10000.0,10000.0,10000.0
DUS → NORTH AFRICA,3951.9357195032876,5498.614958448754,5274.568834745268,5859.12,5297.490305003453
DUS → WESTERN EUROPE,3478.506573145328,3455.5739611681106,3359.906062984861,3467.5289357912675,3664.9847820216564
FRA → EASTERN EUROPE,5542.4061804315725,5693.685677966541,5696.571141599178,5428.152141613957,5403.576821615653
FRA → GULF/MIDDLE EAST,10000.0,10000.0,10000.0,10000.0,10000.0
FRA → NORTH AFRICA,8073.9311071467055,9564.029427468136,8772.29105603679,7075.531249262972,5937.311707816879
FRA → WESTERN EUROPE,6895.583244131814,6999.74434416888,6771.1674353455865,6329.1066112525705,6423.906444383173
HAM → EASTERN EUROPE,4253.864195140374,4296.40218662232,3939.6098818432774,4003.839125367212,4345.061690483746
HAM → GULF/MIDDLE EAST,10000.0,10000.0,8711.242603550296,6831.7174515235465,10000.0
HAM → NORTH AFRICA,9478.635204081631,10000.0,5555.555555555556,10000.0,8518.160715962913
HAM → WESTERN EUROPE,3575.0350520898232,3739.1977878131765,3008.6167322608094,4336.544560134775,4459.6056260694795
MUC → EASTERN EUROPE,5599.8889269375395,5340.303645645606,5733.977934459464,5312.337974158609,4935.142748002239
MUC → GULF/MIDDLE EAST,6427.539062499999,5958.917954815697,5717.061727530548,6916.09977324263,10000.0
MUC → NORTH AFRICA,4308.074030148872,5064.89344656305,5579.584523046443,4295.83472711667,4567.888596821544
MUC → WESTERN EUROPE,5143.172647591162,4821.1383628447775,4854.535477973958,5817.401311880124,6104.468737041866
STR → EASTERN EUROPE,3562.0202304546224,3541.6304269048806,3215.101779509509,3457.037700413673,3531.559151739211
STR → GULF/MIDDLE EAST,10000.0,10000.0,0.0,0.0,10000.0
STR → NORTH AFRICA,5441.928414901388,0.0,7950.010501995379,9798.000832986256,4978.164031793169
STR → WESTERN EUROPE,3910.7675601199303,3826.0443359802134,3383.7956851680988,3860.065998258202,3325.9284204555297
SXF → EASTERN EUROPE,5044.14546606871,5581.1427218934905,6076.935109388082,6377.087917694427,6220.994623726535
SXF → GULF/MIDDLE EAST,10000.0,10000.0,10000.0,10000.0,10000.0
SXF → NORTH AFRICA,9627.463547508412,10000.0,10000.0,10000.0,10000.0
SXF → WESTERN EUROPE,8853.797528221048,9182.877439421447,10000.0,10000.0,10000.0
TXL → EASTERN EUROPE,3632.3931948127574,3354.6567744654826,3786.079487216524,5188.465292415396,4692.518328279358
TXL → GULF/MIDDLE EAST,8413.12164673988,9026.240237610928,10000.0,10000.0,10000.0
TXL → NORTH AFRICA,10000.0,7608.024691358026,5397.76462853386,5002.893518518517,7117.661879566641
TXL → WESTERN EUROPE,3412.699305959768,2975.238452775876,3270.343241747281,3049.769246815799,3769.4245943645715
