Origin Airport,Destination Region Normalized,Year,HHI,Route
DUS,EASTERN EUROPE,2015,3286.862373856627,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2016,3510.8138266217015,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2017,3451.562639740717,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2018,3179.748171983412,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2019,3448.8825063801005,DUS → EASTERN EUROPE
DUS,GULF/MIDDLE EAST,2015,5301.877551020409,DUS → GULF/MIDDLE EAST
DUS,GULF/MIDDLE EAST,2016,5000.0,DUS → GULF/MIDDLE EAST
DUS,GULF/MIDDLE EAST,2017,10000.0,DUS → GULF/MIDDLE EAST
DUS,GULF/MIDDLE EAST,2018,10000.0,DUS → GULF/MIDDLE EAST
DUS,GULF/MIDDLE EAST,2019,10000.0,DUS → GULF/MIDDLE EAST
DUS,NORTH AFRICA,2015,3951.9357195032876,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2016,5498.614958448754,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2017,5274.568834745268,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2018,5859.12,DUS → NORTH AFRICA
DUS,NORTH AFRICA,2019,5297.490305003453,DUS → NORTH AFRICA
DUS,WESTERN EUROPE,2015,3478.506573145328,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2016,3455.5739611681106,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2017,3359.906062984861,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2018,3467.5289357912675,DUS → WESTERN EUROPE
DUS,WESTERN EUROPE,2019,3664.9847820216564,DUS → WESTERN EUROPE
FRA,EASTERN EUROPE,2015,5542.4061804315725,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2016,5693.685677966541,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2017,5696.571141599178,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2018,5428.152141613957,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2019,5403.576821615653,FRA → EASTERN EUROPE
FRA,GULF/MIDDLE EAST,2015,10000.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2016,10000.0,FRA → GULF/MIDDLE EAST
