Origin Airport,Destination Region Normalized,Year,Airline_Group,Departures,Total_Market_Departures,Market_Share,Market_Share_Squared,Route
DUS,EASTERN EUROPE,2015,AIR_BERLIN_GROUP,569.0,9275.0,0.06134770889487871,0.00376354138665078,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2015,LUFTHANSA_GROUP,3861.0,9275.0,0.41628032345013477,0.17328930769174883,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2015,LowCostCarrier_GROUP,1614.0,9275.0,0.17401617250673854,0.030281628293894986,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2015,legacy_group,3231.0,9275.0,0.348355795148248,0.12135176001336812,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2016,AIR_BERLIN_GROUP,200.0,8520.0,0.023474178403755867,0.0005510370517313583,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2016,LUFTHANSA_GROUP,3360.0,8520.0,0.39436619718309857,0.15552469748065859,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2016,LowCostCarrier_GROUP,1517.0,8520.0,0.17805164319248826,0.03170238764354515,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2016,legacy_group,3443.0,8520.0,0.4041079812206573,0.16330326048623509,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2017,AIR_BERLIN_GROUP,256.0,8910.0,0.0287317620650954,0.000825514151365255,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2017,LUFTHANSA_GROUP,3474.0,8910.0,0.3898989898989899,0.15202122232425264,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2017,LowCostCarrier_GROUP,1628.0,8910.0,0.18271604938271604,0.03338515470202713,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2017,legacy_group,3552.0,8910.0,0.39865319865319865,0.15892437279642666,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2018,AIR_BERLIN_GROUP,311.0,8930.0,0.03482642777155655,0.0012128800713274452,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2018,LUFTHANSA_GROUP,3284.0,8930.0,0.36774916013437847,0.13523944477954075,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2018,LowCostCarrier_GROUP,2145.0,8930.0,0.24020156774916013,0.057696793149154366,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2018,NEW_ENTRANT,48.0,8930.0,0.005375139977603583,2.889212977883225e-05,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2018,legacy_group,3142.0,8930.0,0.35184770436730123,0.12379680706853981,DUS → EASTERN EUROPE
DUS,EASTERN EUROPE,2019,AIR_BERLIN_GROUP,248.0,9943.0,0.024942170371115357,0.0006221118628217448,DUS → EASTERN EUROPE
