Year,Origin,Destination,Route,AB_Departures
2015,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,787.0
2016,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,239.0
2017,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,448.0
2018,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,555.0
2019,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,392.0
2015,DUS,FRA,DUS->FRA,0.0
2016,DUS,FRA,DUS->FRA,0.0
2017,DUS,FRA,DUS->FRA,0.0
2018,DUS,FRA,DUS->FRA,0.0
2019,DUS,FRA,DUS->FRA,0.0
2015,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,526.0
2016,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,366.0
2017,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,83.0
2018,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,0.0
2019,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,0.0
2015,DUS,HAM,DUS->HAM,1083.0
2016,DUS,HAM,DUS->HAM,1372.0
2017,DUS,HAM,DUS->HAM,1850.0
2018,DUS,HAM,DUS->HAM,293.0
2019,DUS,HAM,DUS->HAM,147.0
2015,DUS,MUC,DUS->MUC,2571.0
2016,DUS,MUC,DUS->MUC,2240.0
2017,DUS,MUC,DUS->MUC,2448.0
2018,DUS,MUC,DUS->MUC,369.0
2019,DUS,MUC,DUS->MUC,79.0
2015,DUS,NORTH AFRICA,DUS->NORTH AFRICA,330.0
2016,DUS,NORTH AFRICA,DUS->NORTH AFRICA,151.0
2017,DUS,NORTH AFRICA,DUS->NORTH AFRICA,51.0
2018,DUS,NORTH AFRICA,DUS->NORTH AFRICA,19.0
2019,DUS,NORTH AFRICA,DUS->NORTH AFRICA,49.0
2015,DUS,STR,DUS->STR,1349.0
2016,DUS,STR,DUS->STR,1369.0
2017,DUS,STR,DUS->STR,1311.0
2018,DUS,STR,DUS->STR,1230.0
2019,DUS,STR,DUS->STR,1175.0
2015,DUS,SXF,DUS->SXF,0.0
2016,DUS,SXF,DUS->SXF,0.0
2018,DUS,SXF,DUS->SXF,0.0
2019,DUS,SXF,DUS->SXF,0.0
2015,DUS,TXL,DUS->TXL,2232.0
2016,DUS,TXL,DUS->TXL,2241.0
2017,DUS,TXL,DUS->TXL,2483.0
2018,DUS,TXL,DUS->TXL,1383.0
2019,DUS,TXL,DUS->TXL,103.0
2015,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,14821.0
2016,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,16228.0
2017,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,17101.0
2018,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,10629.0
2019,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,11931.0
2015,FRA,DUS,FRA->DUS,0.0
2016,FRA,DUS,FRA->DUS,0.0
2017,FRA,DUS,FRA->DUS,0.0
2018,FRA,DUS,FRA->DUS,0.0
2019,FRA,DUS,FRA->DUS,0.0
2015,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0
2016,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0
2017,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0
2018,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0
2019,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0
2015,FRA,GULF & MIDDLE EAST,FRA->GULF & MIDDLE EAST,0.0
2016,FRA,GULF & MIDDLE EAST,FRA->GULF & MIDDLE EAST,0.0
2017,FRA,GULF & MIDDLE EAST,FRA->GULF & MIDDLE EAST,0.0
2018,FRA,GULF & MIDDLE EAST,FRA->GULF & MIDDLE EAST,0.0
2019,FRA,GULF & MIDDLE EAST,FRA->GULF & MIDDLE EAST,0.0
2015,FRA,HAM,FRA->HAM,0.0
2016,FRA,HAM,FRA->HAM,0.0
2017,FRA,HAM,FRA->HAM,0.0
2018,FRA,HAM,FRA->HAM,0.0
2019,FRA,HAM,FRA->HAM,0.0
2015,FRA,MUC,FRA->MUC,0.0
2016,FRA,MUC,FRA->MUC,0.0
2017,FRA,MUC,FRA->MUC,0.0
2018,FRA,MUC,FRA->MUC,0.0
2019,FRA,MUC,FRA->MUC,0.0
2015,FRA,NORTH AFRICA,FRA->NORTH AFRICA,0.0
2016,FRA,NORTH AFRICA,FRA->NORTH AFRICA,0.0
2017,FRA,NORTH AFRICA,FRA->NORTH AFRICA,0.0
2018,FRA,NORTH AFRICA,FRA->NORTH AFRICA,0.0
2019,FRA,NORTH AFRICA,FRA->NORTH AFRICA,0.0
2015,FRA,STR,FRA->STR,0.0
2016,FRA,STR,FRA->STR,0.0
2017,FRA,STR,FRA->STR,0.0
2018,FRA,STR,FRA->STR,0.0
2019,FRA,STR,FRA->STR,0.0
2016,FRA,SXF,FRA->SXF,0.0
2017,FRA,SXF,FRA->SXF,0.0
2018,FRA,SXF,FRA->SXF,0.0
2019,FRA,SXF,FRA->SXF,0.0
2015,FRA,TXL,FRA->TXL,1668.0
2016,FRA,TXL,FRA->TXL,1458.0
2017,FRA,TXL,FRA->TXL,1218.0
2018,FRA,TXL,FRA->TXL,0.0
2019,FRA,TXL,FRA->TXL,0.0
2015,FRA,WESTERN EUROPE,FRA->WESTERN EUROPE,1408.0
2016,FRA,WESTERN EUROPE,FRA->WESTERN EUROPE,1312.0
2017,FRA,WESTERN EUROPE,FRA->WESTERN EUROPE,245.0
2018,FRA,WESTERN EUROPE,FRA->WESTERN EUROPE,429.0
2019,FRA,WESTERN EUROPE,FRA->WESTERN EUROPE,0.0
2015,HAM,DUS,HAM->DUS,1084.0
2016,HAM,DUS,HAM->DUS,1373.0
2017,HAM,DUS,HAM->DUS,1853.0
2018,HAM,DUS,HAM->DUS,293.0
2019,HAM,DUS,HAM->DUS,147.0
2015,HAM,EASTERN EUROPE,HAM->EASTERN EUROPE,10.0
2016,HAM,EASTERN EUROPE,HAM->EASTERN EUROPE,2.0
2017,HAM,EASTERN EUROPE,HAM->EASTERN EUROPE,129.0
2018,HAM,EASTERN EUROPE,HAM->EASTERN EUROPE,0.0
2019,HAM,EASTERN EUROPE,HAM->EASTERN EUROPE,0.0
2015,HAM,FRA,HAM->FRA,0.0
2016,HAM,FRA,HAM->FRA,0.0
2017,HAM,FRA,HAM->FRA,0.0
2018,HAM,FRA,HAM->FRA,0.0
2019,HAM,FRA,HAM->FRA,0.0
2015,HAM,GULF & MIDDLE EAST,HAM->GULF & MIDDLE EAST,0.0
2016,HAM,GULF & MIDDLE EAST,HAM->GULF & MIDDLE EAST,0.0
2017,HAM,GULF & MIDDLE EAST,HAM->GULF & MIDDLE EAST,0.0
2018,HAM,GULF & MIDDLE EAST,HAM->GULF & MIDDLE EAST,0.0
2019,HAM,GULF & MIDDLE EAST,HAM->GULF & MIDDLE EAST,0.0
2015,HAM,MUC,HAM->MUC,2114.0
2016,HAM,MUC,HAM->MUC,1909.0
2017,HAM,MUC,HAM->MUC,1737.0
2018,HAM,MUC,HAM->MUC,70.0
2019,HAM,MUC,HAM->MUC,0.0
2015,HAM,NORTH AFRICA,HAM->NORTH AFRICA,0.0
2016,HAM,NORTH AFRICA,HAM->NORTH AFRICA,0.0
2017,HAM,NORTH AFRICA,HAM->NORTH AFRICA,0.0
2018,HAM,NORTH AFRICA,HAM->NORTH AFRICA,0.0
2019,HAM,NORTH AFRICA,HAM->NORTH AFRICA,0.0
2015,HAM,STR,HAM->STR,1085.0
2016,HAM,STR,HAM->STR,385.0
2017,HAM,STR,HAM->STR,1063.0
2018,HAM,STR,HAM->STR,331.0
2019,HAM,STR,HAM->STR,66.0
2017,HAM,SXF,HAM->SXF,0.0
2015,HAM,TXL,HAM->TXL,0.0
2017,HAM,TXL,HAM->TXL,0.0
2018,HAM,TXL,HAM->TXL,0.0
2019,HAM,TXL,HAM->TXL,0.0
2015,HAM,WESTERN EUROPE,HAM->WESTERN EUROPE,4280.0
2016,HAM,WESTERN EUROPE,HAM->WESTERN EUROPE,3041.0
2017,HAM,WESTERN EUROPE,HAM->WESTERN EUROPE,4641.0
2018,HAM,WESTERN EUROPE,HAM->WESTERN EUROPE,119.0
2019,HAM,WESTERN EUROPE,HAM->WESTERN EUROPE,0.0
2015,MUC,DUS,MUC->DUS,2569.0
2016,MUC,DUS,MUC->DUS,2240.0
2017,MUC,DUS,MUC->DUS,2453.0
2018,MUC,DUS,MUC->DUS,369.0
2019,MUC,DUS,MUC->DUS,79.0
2015,MUC,EASTERN EUROPE,MUC->EASTERN EUROPE,57.0
2016,MUC,EASTERN EUROPE,MUC->EASTERN EUROPE,27.0
2017,MUC,EASTERN EUROPE,MUC->EASTERN EUROPE,0.0
2018,MUC,EASTERN EUROPE,MUC->EASTERN EUROPE,0.0
2019,MUC,EASTERN EUROPE,MUC->EASTERN EUROPE,0.0
2015,MUC,FRA,MUC->FRA,0.0
2016,MUC,FRA,MUC->FRA,0.0
2017,MUC,FRA,MUC->FRA,0.0
2018,MUC,FRA,MUC->FRA,0.0
2019,MUC,FRA,MUC->FRA,0.0
