Year,Origin,Destination,Route,AB_Departures,LH_Departures,LH_Delta,LH_Pct_Change
2015,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,787.0,5766.0,,
2016,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,239.0,5134.0,-632.0,-10.96
2017,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,448.0,4951.0,-183.0,-3.56
2018,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,555.0,4913.0,-38.0,-0.77
2019,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,392.0,6166.0,1253.0,25.5
2015,DUS,FRA,DUS->FRA,0.0,2164.0,,
2016,DUS,FRA,DUS->FRA,0.0,2130.0,-34.0,-1.57
2017,DUS,FRA,DUS->FRA,0.0,2277.0,147.0,6.9
2018,DUS,FRA,DUS->FRA,0.0,2599.0,322.0,14.14
2019,DUS,FRA,DUS->FRA,0.0,2230.0,-369.0,-14.2
2015,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,526.0,0.0,,
2016,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,366.0,0.0,0.0,
2017,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,83.0,0.0,0.0,
2018,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,0.0,0.0,0.0,
2019,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,0.0,103.0,103.0,
2015,DUS,HAM,DUS->HAM,1083.0,1904.0,,
2016,DUS,HAM,DUS->HAM,1372.0,1940.0,36.0,1.89
2017,DUS,HAM,DUS->HAM,1850.0,1386.0,-554.0,-28.56
2018,DUS,HAM,DUS->HAM,293.0,2301.0,915.0,66.02
2019,DUS,HAM,DUS->HAM,147.0,2584.0,283.0,12.3
2015,DUS,MUC,DUS->MUC,2571.0,3663.0,,
2016,DUS,MUC,DUS->MUC,2240.0,3803.0,140.0,3.82
2017,DUS,MUC,DUS->MUC,2448.0,4155.0,352.0,9.26
2018,DUS,MUC,DUS->MUC,369.0,6067.0,1912.0,46.02
2019,DUS,MUC,DUS->MUC,79.0,7284.0,1217.0,20.06
